category,title,company,location,salary_min,salary_max,salary_is_predicted,posted_date,remote_type,employment_time,employment_type,seniority,url,skill_1,skill_2,skill_3,skill_4,skill_5,skill_6,skill_7,skill_8
it-jobs,Data Analyst,Quality Talent Group,"Red Hook, Dutchess County",92565.23,92565.23,1,2025-12-16T22:21:33Z,on-site,,permanent,mid,https://www.adzuna.com/details/5545245549?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Project Engineer – Consumer Goods (Onsite),Ajulia Executive Search,"Port Washington, Ozaukee County",80000,90000,0,2025-12-23T15:01:10Z,on-site,full_time,contract,mid,https://www.adzuna.com/details/5553582580?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Senior Staff Engineer,"Green Bay Packaging, Inc, Arkansas Kraft Divsion","Cypress Valley, Conway County",109224.12,109224.12,1,2025-10-08T18:07:21Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5437850635?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Stationary Engineer (IUOE Local 465),"*US AMR-Jones Lang LaSalle Americas, Inc.","James Island, Charleston County",159281.42,159281.42,1,2025-11-03T03:49:28Z,on-site,full_time,contract,mid,https://www.adzuna.com/details/5477946152?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Electro-Mechanical Engineer,Manpower,"Siren, Burnett County",132951.16,132951.16,1,2025-11-26T06:17:44Z,on-site,,permanent,mid,https://www.adzuna.com/details/5514422469?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,"Senior Manufacturing Engineer, Additive Manufacturing",Orchid Orthopedic Solutions,"Dimondale, Eaton County",89208.04,89208.04,1,2025-12-08T18:14:27Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5534072380?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,"Senior Manufacturing Engineer, Additive Manufacturing",Orchid Orthopedic Solutions,US,85932.77,85932.77,1,2025-12-08T18:14:27Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5534072384?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Project Manager,Anderson Dahlen,"Ramsey, Anoka County",88150,129000,0,2025-12-22T14:54:52Z,on-site,,contract,mid,https://www.adzuna.com/details/5552275335?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Structural Engineer,Gpac,"Coon Rapids, Anoka County",98155.05,98155.05,1,2025-12-23T01:52:13Z,on-site,,permanent,senior,https://www.adzuna.com/details/5552784907?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Land Development Engineer,Gpac,"Jeffersontown, Jefferson County",80000,130000,0,2025-12-18T00:52:13Z,on-site,,permanent,mid,https://www.adzuna.com/details/5546758111?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Automation Engineer,Wisconsin Stamping & Manufacturing,"Germantown, Washington County",68603.96,68603.96,1,2025-05-06T20:13:17Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5184122890?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Project Engineer,BIC Recruiting,"Golden Acres, Harris County",76027.59,76027.59,1,2025-11-08T00:25:26Z,on-site,full_time,contract,mid,https://www.adzuna.com/details/5486591951?utm_medium=api&utm_source=8b89c1ee,r,,,,,,,
engineering-jobs,SR. SYSTEMS ENGINEER - General Interest,QTEC Aerospace,"Redstone Arsenal, Madison County",103284.66,103284.66,1,2025-07-04T04:43:52Z,on-site,,contract,senior,https://www.adzuna.com/details/5283962694?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Portable Life Support System (PLSS) Project Engineer,MbSolutions Inc,"Nassau Bay, Harris County",80866.98,80866.98,1,2025-06-26T21:23:27Z,on-site,,permanent,mid,https://www.adzuna.com/details/5270523165?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Structural Engineer,LVI Associates,"Miami, Miami-Dade County",130000,160000,0,2025-12-11T19:03:25Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5538597591?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Traveling Project Engineer,Gpac,"Quincy, Adams County",70000,90000,0,2025-12-28T00:59:17Z,on-site,,contract,mid,https://www.adzuna.com/details/5558078171?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,HVAC Sales Engineer,"Liberty Personnel Services, Inc","South Norfolk, Chesapeake City",116568.8,116568.8,1,2025-10-24T13:16:25Z,on-site,,permanent,mid,https://www.adzuna.com/details/5462951502?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
engineering-jobs,Go-to-Market & Commercial Strategy Lead (Founding Team),"Iron Spark Energy, Inc.",US,156270.97,156270.97,1,2025-11-25T21:17:53Z,hybrid,full_time,permanent,senior,https://www.adzuna.com/details/5514101686?utm_medium=api&utm_source=8b89c1ee,spark,,,,,,,
engineering-jobs,Mechanical Engineer - HVAC,Gpac,"Grand Prairie, Dallas",85000,115000,0,2025-12-04T19:08:25Z,on-site,,permanent,mid,https://www.adzuna.com/details/5528624336?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Deputy Project Manager,Innosoft Corporation,"West End, Dauphin County",150000,150000,0,2025-12-08T17:33:47Z,on-site,,contract,senior,https://www.adzuna.com/details/5534001647?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,"Manager / Associate Principal, Insights and Analytics",Blue Matter,"San Francisco, California",216742.98,216742.98,1,2025-12-01T19:58:57Z,on-site,,permanent,senior,https://www.adzuna.com/details/5523269856?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Project Manager,Solid Rock Recruiting,"Hartford, Hartford County",100855.43,100855.43,1,2025-11-10T10:46:41Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5489512394?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Project Manager I - LACCD,"Triangle DeCon Services, Inc.","Monterey Park, Los Angeles County",155000,165000,0,2025-12-23T22:32:24Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5553844087?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Project Manager,Baranko Companies,"Dickinson, Stark County",100000,100000,0,2025-07-12T20:53:08Z,on-site,,permanent,mid,https://www.adzuna.com/details/5300377329?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Highway Project Manager,Larson Design Group,"Pittsburgh, Allegheny County",148185.55,148185.55,1,2025-12-11T12:24:50Z,on-site,,permanent,mid,https://www.adzuna.com/details/5537823102?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Support Services Project Manager,Quantaleap,"East Baton Rouge Parish, Louisiana",102888.87,102888.87,1,2025-02-28T15:13:26Z,on-site,,permanent,mid,https://www.adzuna.com/details/5067474099?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,SPM/PX - Fairless Hills - PA - Data Center - Mechanical,LVI Associates,"Dulles, Loudoun County",165000,165000,0,2025-12-12T19:03:04Z,on-site,full_time,permanent,senior,https://www.adzuna.com/details/5540424413?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Water Resources Senior Project Manager,JEO Consulting Group,"Cheyenne, Laramie County",104192.57,104192.57,1,2025-11-23T02:08:38Z,on-site,,permanent,senior,https://www.adzuna.com/details/5510231381?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Brownfield Redevelopment Project Manager,HireReady Partners,"Brighton, Livingston County",120000,130000,0,2025-12-07T15:18:25Z,on-site,full_time,permanent,mid,https://www.adzuna.com/details/5532757168?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Water Resources Senior Project Manager,JEO Consulting Group,US,103679.42,103679.42,1,2025-11-06T14:44:08Z,on-site,,permanent,senior,https://www.adzuna.com/details/5484302953?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,"Freelance Policy, Research & Advocacy Specialist",Mind Friend PRO,"New York City, New York",60000,300000,0,2025-12-01T07:17:07Z,remote,,contract,mid,https://www.adzuna.com/details/5521494983?utm_medium=api&utm_source=8b89c1ee,excel,,,,,,,
consultancy-jobs,"Associate Project Management, Biopharma Supply Chain - (JP10453)",3 Key Consulting,"Thousand Oaks, Ventura County",135220.11,135220.11,1,2024-08-08T09:35:16Z,remote,,contract,junior,https://www.adzuna.com/details/4816807662?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
consultancy-jobs,Pricing Analyst,NSI INDUSTRIES,"Huntersville, Mecklenburg County",71896.2,71896.2,1,2025-12-16T19:40:43Z,on-site,,permanent,mid,https://www.adzuna.com/details/5545085019?utm_medium=api&utm_source=8b89c1ee,,,,,,,,
